Land	B
use	I
and	I
land	I
cover	I
(	I
LULC	I
)	I
maps	I
are	O
able	O
to	O
capture	O
the	O
combined	O
effects	O
of	O
environmental	B
and	I
socio	I
-	I
economic	I
policies	I
on	O
the	O
territory	B
and	O
therefore	O
are	O
a	O
fundamental	O
indicator	O
for	O
integrated	B
coastal	I
zone	I
management	I
(	I
ICZM	I
)	I
.	O
In	O
Portugal	B
,	O
it	O
is	O
generally	O
assumed	O
that	O
coastal	B
areas	I
are	O
heavily	O
artificialized	O
and	O
urbanization	B
rates	I
along	O
the	O
coast	B
are	O
higher	O
than	O
further	O
inland	B
,	O
despite	O
the	O
sharp	O
differences	O
existing	O
between	O
individual	O
regions	O
.	O
The	O
availability	O
of	O
comparable	O
LULC	O
maps	O
enables	O
a	O
quantitative	O
characterization	O
and	O
assessment	O
of	O
changes	O
for	O
these	O
regions	O
over	O
a	O
period	O
of	O
13	O
-	O
15	O
years	O
.	O
Using	O
NUTS	O
II	O
of	O
mainland	O
Portugal	O
as	O
spatial	O
reference	O
units	O
and	O
CORINE	O
Land	O
Cover	O
databases	O
as	O
main	O
source	O
data	O
,	O
GIS	O
-	O
based	O
spatial	O
analysis	O
is	O
employed	O
to	O
analyze	O
regional	O
differences	O
in	O
the	O
distribution	O
of	O
artificial	O
surfaces	O
relative	O
to	O
the	O
distance	O
from	O
the	O
coastline	O
and	O
investigate	O
the	O
degrees	O
of	O
urban	O
pressure	O
along	O
coastal	O
areas	O
.	O
Urbanization	O
in	O
the	O
vicinity	O
of	O
regional	O
coastal	O
urban	O
centers	O
is	O
also	O
investigated	O
,	O
and	O
indicators	O
such	O
as	O
average	O
annual	O
change	O
rates	O
and	O
area	O
of	O
specific	O
land	O
use	O
/	O
land	O
cover	O
transfers	O
in	O
the	O
coastal	O
zone	O
are	O
computed	O
.	O
Results	O
quantify	O
the	O
main	O
LULC	B
changes	O
taking	O
place	O
along	O
the	O
coast	B
of	O
mainland	B
Portugal	B
and	O
confirm	O
the	O
following	O
:	O
i	O
)	O
there	O
is	O
correlation	O
between	O
LULC	B
change	O
,	O
distance	O
to	O
coastline	B
,	O
and	O
distance	O
to	O
regional	O
coastal	B
urban	I
centers	I
;	O
ii	O
)	O
this	O
correlation	O
reveals	O
that	O
'	O
distance	O
'	O
is	O
one	O
of	O
the	O
factors	O
causing	O
physical	B
change	I
in	O
coastal	B
areas	I
;	O
iii	O
)	O
urban	B
pressure	I
in	O
coastal	B
areas	I
displays	O
marked	O
regional	O
differences	O
,	O
being	O
generally	O
higher	O
in	O
the	O
Algarve	B
and	O
Norte	B
regions	O
.	O
This	O
is	O
caused	O
by	O
both	O
historical	O
reasons	O
and	O
limited	O
application	O
of	O
coastal	B
planning	I
practices	O
.	O
